artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0.000,1.000,0.091,0.767,0.050,0.286,0.069,0.100,0.287,0.059,0.017,0.645,0.511,0.562,0.903,0.716,0.526,0.000,0.149,0.048
0.000,0.989,0.364,0.833,0.128,0.306,0.328,0.207,0.404,0.165,0.259,0.220,0.426,0.836,0.871,0.670,0.598,0.000,0.202,0.032
0.000,1.000,0.545,0.433,0.009,0.279,0.004,0.051,0.418,0.040,0.103,0.227,0.447,0.863,0.409,0.716,0.608,0.000,0.064,0.274
0.000,0.968,0.545,0.767,0.149,0.197,0.219,0.158,0.407,0.146,0.069,0.226,0.461,0.521,0.527,0.557,0.567,0.000,0.255,0.032
0.143,1.000,0.364,0.100,0.013,0.102,0.030,0.040,0.062,0.075,0.069,0.175,0.461,0.863,0.591,0.989,0.515,0.011,0.064,0.048
0.143,1.000,0.091,0.067,0.097,0.279,0.042,0.229,0.305,0.105,0.241,0.039,0.482,0.644,0.882,0.818,0.258,0.000,0.234,0.048
0.286,0.989,0.455,0.767,0.058,0.265,0.195,0.057,0.000,0.004,0.000,0.000,0.255,0.890,0.731,0.568,0.639,0.000,0.064,0.016
0.143,1.000,0.182,0.767,0.076,0.340,0.097,0.122,0.440,0.187,0.207,0.179,0.213,0.740,0.527,0.625,0.763,0.000,0.149,0.194
0.143,0.989,0.818,0.167,0.087,0.259,0.182,0.094,0.287,0.091,0.190,0.017,0.234,0.918,0.387,0.568,0.000,0.000,0.074,0.435
0.000,0.742,0.000,0.000,0.593,0.293,0.474,0.292,0.007,0.004,0.086,0.000,0.766,0.274,0.258,0.648,0.000,0.000,0.213,0.016
0.000,0.989,0.818,0.667,0.072,0.156,0.109,0.055,0.200,0.033,0.000,0.285,0.177,0.562,0.065,0.602,0.072,0.000,0.479,0.081
0.000,0.989,1.000,0.033,0.066,0.381,0.101,0.156,0.233,0.174,0.138,0.555,0.943,0.493,0.720,0.375,0.567,0.000,0.074,0.081
0.000,1.000,0.545,0.433,0.007,0.245,0.004,0.054,0.116,0.032,0.017,0.027,0.532,0.452,0.473,0.727,0.000,0.000,0.340,0.032
0.000,1.000,0.545,0.200,0.002,0.163,0.011,0.048,0.338,0.008,0.034,0.005,0.121,0.384,0.194,0.500,0.010,0.000,0.128,0.016
0.143,1.000,0.455,0.733,0.018,0.238,0.015,0.063,0.291,0.060,0.052,0.177,0.461,0.740,0.860,0.909,0.175,0.000,0.426,0.048
0.000,0.968,0.455,0.900,0.426,0.429,0.691,0.574,0.524,0.726,0.483,0.000,0.113,0.726,0.527,0.500,0.454,0.000,0.064,0.113
0.000,0.989,0.545,0.467,0.085,0.245,0.203,0.104,0.211,0.112,0.310,0.241,0.206,0.384,0.108,0.568,0.670,0.198,0.234,0.016
0.000,0.882,0.364,0.433,0.310,0.415,0.616,0.247,0.316,0.001,0.017,0.000,0.418,0.521,0.398,0.818,0.052,0.022,0.074,0.016
0.143,0.989,0.545,0.167,0.160,0.306,0.366,0.140,0.236,0.168,0.241,0.185,0.447,0.534,0.548,0.784,0.010,0.033,0.213,0.032
0.000,0.839,0.000,0.000,0.641,0.422,0.430,0.347,0.000,0.004,0.155,0.000,0.518,0.356,0.409,0.602,0.093,0.000,0.085,0.016
0.000,0.989,0.545,0.533,0.061,0.156,0.172,0.140,0.309,0.070,0.017,0.088,0.475,0.479,0.247,0.443,0.515,0.000,0.096,0.016
